Date,open,high,low,close,sma5,sma10,sma15,sma20,ema5,ema10,ema15,ema20,upperband,middleband,lowerband,HT_TRENDLINE,KAMA10,KAMA20,KAMA30,SAR,TRIMA5,TRIMA10,TRIMA20,ADX5,ADX10,ADX20,APO,CCI5,CCI10,CCI15,macd510,macd520,macd1020,macd1520,macd1226,MOM10,MOM15,MOM20,ROC5,ROC10,ROC20,PPO,RSI14,RSI8,slowk,slowd,fastk,fastd,fastksr,fastdsr,ULTOSC,WILLR,ATR,Trange,TYPPRICE,HT_DCPERIOD,BETA
5-26-2022,16105,16204.45,15903.7,16170.15,16458.26,16484.575,16314.95333,16089.0325,16390.28821,16372.42017,16301.88395,16253.54543,16811.05128,16458.26,16105.46872,16023.60565,16471.98476,16008.33072,15772.09335,17992.2,16505.67778,16539.53333,16175.67,51.71940236,35.76484571,28.14914624,449.0035256,-123.7558569,-186.4109222,-54.77828584,17.86804352,136.7427845,118.8743921,48.29939659,108.65422,-307.95,809.55,613.5,-2.753488092,-1.868844102,3.943651107,2.804262202,48.08147865,43.30505501,41.29970781,44.24877908,33.65117454,41.29970781,0,27.29810189,50.75795495,-54.98060649,272.0070116,448.75,16092.76667,20.29378098,1.071293916
5-25-2022,16196.35,16223.35,16006.95,16025.8,16358.87,16451.53,16337.19667,16119.6575,16268.79214,16309.39832,16267.37346,16231.85539,16839.74249,16358.87,15877.99751,16045.24752,16446.84789,16008.93703,15773.34171,17992.2,16370.08889,16514.19667,16244.58273,51.36033742,33.86886839,27.29027354,424.8926282,-80.17896729,-138.3038516,-71.11797985,-40.60617862,36.93675407,77.54264729,35.48383424,75.2529695,-330.45,333.65,612.5,-3.007671241,-2.020328621,3.973840774,2.652112691,44.40305961,37.76499619,25.54318111,36.86876324,15.42056075,25.54318111,0,0,50.15978469,-69.20304546,268.0350822,216.4,16085.36667,20.46881112,1.172554667
5-24-2022,16225.55,16262.8,16078.6,16125.15,16266.99,16422.41,16363.4,16143.975,16220.91143,16275.89863,16249.59552,16221.69297,16714.67904,16266.99,15819.30096,16066.30568,16432.41622,16012.11702,15777.97072,17992.2,16228.16667,16467.99667,16302.27591,48.96141144,31.76925557,26.38056778,382.9397436,-38.31082045,-85.5078249,-68.27806561,-54.98719805,-0.781542176,54.20542237,27.87259935,56.151671,-291.2,393.05,486.35,-2.770048027,-1.773841323,3.109893342,2.388379904,47.38649338,43.45500551,25.67988549,30.8409248,27.96792119,25.67988549,15.13822063,5.046073542,46.85254177,-75.12217042,265.8182906,237,16155.51667,20.72350224,1.161670861
5-23-2022,16290.95,16414.7,16185.75,16214.7,16177.65,16386.925,16392.75333,16187.2025,16218.84095,16264.7716,16245.23358,16221.02697,16392.6824,16177.65,15962.6176,16093.13432,16418.355,16025.50733,15784.69323,17992.2,16137.23889,16401.3,16349.67455,39.98616391,28.72610135,25.16664035,357.1246795,66.83086527,-38.2730348,-50.03363629,-45.93065119,-2.186021112,43.74443903,24.18040031,47.68995085,-354.85,440.3,864.55,-2.681047211,-2.141578981,5.632192519,2.225426524,49.99140256,48.32213074,34.74984623,28.65763761,60.86105675,34.74984623,63.13055683,26.08959249,44.36833137,-65.06206819,267.5134127,289.55,16271.71667,21.05138111,1.05802126
5-20-2022,16043.8,16283.05,16003.85,16266.15,16160.39,16355.11,16397.04333,16235.835,16234.61063,16265.02222,16247.84814,16225.3244,16324.30787,16160.39,15996.47213,16122.12136,16410.36189,16044.58887,15794.94152,17992.2,16143.63889,16328.665,16383.09545,38.07749075,27.17370602,24.37939968,327.911859,31.39614147,-55.47515089,-83.17246587,-30.41158616,9.286230359,39.69766022,22.50079749,44.62119631,-318.15,64.35,972.65,-0.527749664,-1.918380637,6.359891457,2.041262723,51.47781775,51.08663723,53.25284262,37.89419145,70.9295499,53.25284262,100,59.42292582,48.67594171,-59.28214346,268.3481689,279.2,16184.35,21.37448605,1.389036358
5-19-2022,15917.4,15984.75,15775.2,15809.4,16088.24,16273.25,16352.46333,16258.275,16092.87376,16182.18182,16193.04212,16185.71256,16411.54413,16088.24,15764.93587,16148.89568,16324.87351,16039.15226,15795.00968,17992.2,16140.21111,16251.73333,16397.34,40.74585087,27.22555643,24.03924218,260.3294872,-151.5745919,-140.601217,-164.7010246,-89.30806063,-92.83879988,-3.530867139,7.309495287,5.27250034,-818.6,-668.7,448.8,-2.230962607,-4.92302141,2.921760869,1.620132838,40.08655119,33.11405435,45.71284491,44.57184458,5.347928069,45.71284491,0,54.37685228,40.62607261,-96.64261523,284.2482997,490.95,15856.45,21.69822057,0.897252706
5-18-2022,16318.15,16399.8,16211.2,16240.3,16131.14,16245.005,16344.73333,16285.6825,16142.01584,16192.74876,16198.94935,16190.91136,16466.61386,16131.14,15795.66614,16165.66377,16322.86973,16044.83498,15801.60666,17992.2,16134.67778,16197.21333,16397.495,34.61631697,24.95023275,22.85325231,205.3685897,75.65052038,14.47648276,-20.30764368,-50.73292181,-48.89552288,1.837294294,8.020434673,8.757453639,-282.45,-115.95,548.15,1.338466722,-1.709461197,3.493147848,1.276001505,51.08386552,51.50763955,49.66872409,49.54480387,72.72869429,49.66872409,96.54162926,65.51387642,47.53226033,-54.34153046,306.1162783,590.4,16283.76667,22.23850641,0.974695194
5-17-2022,15912.6,16284.25,15900.8,16259.3,16157.97,16212.48,16334.26333,16312.0425,16181.11056,16204.84899,16206.49318,16197.42456,16508.36206,16157.97,15807.57794,16190.35665,16321.03596,16050.65842,15807.9714,17992.2,16101.67778,16163.73,16387.14227,31.73441807,23.81621264,22.24277993,142.1051282,-0.433919219,-25.89885402,-57.69959192,-23.73842659,-16.31400587,7.424335108,9.053256512,12.90369963,-325.25,-157.05,527.2,0.831930246,-1.961162648,3.351110151,0.881149897,51.50654121,52.17046132,51.25879593,48.88012164,75.69976544,51.25879593,100,65.51387642,51.43029285,-52.47631669,311.6401156,383.45,16148.11667,22.88314399,1.049874097
5-16-2022,15845.1,15977.95,15739.65,15842.3,16083.49,16130.57,16285.78,16315.4375,16068.17371,16138.93099,16160.96904,16163.60318,16505.06908,16083.49,15661.91092,16213.99877,16281.12102,16049.45294,15808.1198,17992.2,16107.41667,16133.14667,16361.59364,31.84753941,23.57984031,21.90217411,77.57403846,-83.95737746,-148.1110499,-133.396219,-70.75728213,-95.42947161,-24.67225953,-2.647584015,-17.25982502,-819.1,-727.25,67.9,-2.296681406,-4.916153505,0.430444264,0.480779258,42.77130291,38.85069441,54.65931869,51.86227957,15.54949633,54.65931869,23.50922998,73.35028641,49.24481332,-89.26086729,326.4979645,519.65,15853.3,23.18660206,0.934731175
5-13-2022,15977,16083.6,15740.85,15782.15,15986.69,16073.54,16232.30333,16294.455,15972.83247,16074.06172,16113.61666,16127.2743,16418.19997,15986.69,15555.18003,16230.53522,16252.24846,16043.89931,15807.97518,17992.2,16059.40556,16101.32,16322.79682,29.01475421,22.61377981,21.37283581,-5.908012821,-51.92055389,-106.4104276,-113.2787098,-101.2292468,-154.4418328,-53.21264327,-13.66940915,-45.49381356,-570.3,-802.15,-419.65,-2.975504345,-3.487550795,-2.590144305,-0.03657832,41.67342062,37.28156901,32.56239751,46.16017071,6.437930773,32.56239751,13.89554127,45.80159042,45.70396016,-95.55369566,327.6588241,342.75,15868.86667,23.16229238,0.887115655
